$ kubectl logs -n projet-we -l app=preprocessing --tail=200 --timestamps=true

STDOUT:
2026-05-29T16:04:49.302171482Z INFO:     Started server process [1]
2026-05-29T16:04:49.302206886Z INFO:     Waiting for application startup.
2026-05-29T16:04:49.302550230Z INFO:     Application startup complete.
2026-05-29T16:04:49.307074012Z INFO:     Uvicorn running on http://0.0.0.0:8001 (Press CTRL+C to quit)
2026-05-29T16:04:52.606324801Z INFO:     10.244.0.1:45388 - "GET /health HTTP/1.1" 200 OK
2026-05-29T16:05:02.593538650Z INFO:     10.244.0.1:39790 - "GET /health HTTP/1.1" 200 OK
2026-05-29T16:05:12.156501216Z INFO:     10.244.0.1:41596 - "GET /health HTTP/1.1" 200 OK
2026-05-29T16:05:12.590278756Z INFO:     10.244.0.1:41610 - "GET /health HTTP/1.1" 200 OK
2026-05-29T16:05:22.590638606Z INFO:     10.244.0.1:43598 - "GET /health HTTP/1.1" 200 OK
2026-05-29T16:05:32.152267474Z INFO:     10.244.0.1:59138 - "GET /health HTTP/1.1" 200 OK
2026-05-29T16:05:32.589556939Z INFO:     10.244.0.1:59144 - "GET /health HTTP/1.1" 200 OK
2026-05-29T16:05:42.587677406Z INFO:     10.244.0.1:50174 - "GET /health HTTP/1.1" 200 OK
2026-05-29T16:05:52.149814972Z INFO:     10.244.0.1:56146 - "GET /health HTTP/1.1" 200 OK
2026-05-29T16:05:52.589543054Z INFO:     10.244.0.1:56160 - "GET /health HTTP/1.1" 200 OK
2026-05-29T16:06:02.588309830Z INFO:     10.244.0.1:43634 - "GET /health HTTP/1.1" 200 OK
2026-05-29T16:06:12.149458529Z INFO:     10.244.0.1:49430 - "GET /health HTTP/1.1" 200 OK
2026-05-29T16:06:12.586274202Z INFO:     10.244.0.1:49440 - "GET /health HTTP/1.1" 200 OK
2026-05-29T16:06:22.585938888Z INFO:     10.244.0.1:58728 - "GET /health HTTP/1.1" 200 OK
2026-05-29T16:06:32.147953757Z INFO:     10.244.0.1:36140 - "GET /health HTTP/1.1" 200 OK
2026-05-29T16:06:32.585629610Z INFO:     10.244.0.1:36146 - "GET /health HTTP/1.1" 200 OK
2026-05-29T16:06:42.583186438Z INFO:     10.244.0.1:50026 - "GET /health HTTP/1.1" 200 OK
2026-05-29T16:06:52.146435210Z INFO:     10.244.0.1:55126 - "GET /health HTTP/1.1" 200 OK
2026-05-29T16:06:52.583008068Z INFO:     10.244.0.1:55140 - "GET /health HTTP/1.1" 200 OK
2026-05-29T16:07:02.584023892Z INFO:     10.244.0.1:59424 - "GET /health HTTP/1.1" 200 OK
2026-05-29T16:07:12.144287033Z INFO:     10.244.0.1:44804 - "GET /health HTTP/1.1" 200 OK
2026-05-29T16:07:12.579992557Z INFO:     10.244.0.1:44810 - "GET /health HTTP/1.1" 200 OK
2026-05-29T16:07:22.583369442Z INFO:     10.244.0.1:43896 - "GET /health HTTP/1.1" 200 OK
2026-05-29T16:07:32.142719949Z INFO:     10.244.0.1:35034 - "GET /health HTTP/1.1" 200 OK
2026-05-29T16:07:32.582085939Z INFO:     10.244.0.1:35042 - "GET /health HTTP/1.1" 200 OK
2026-05-29T16:07:42.579384947Z INFO:     10.244.0.1:34426 - "GET /health HTTP/1.1" 200 OK
2026-05-29T16:07:52.144287026Z INFO:     10.244.0.1:54528 - "GET /health HTTP/1.1" 200 OK
2026-05-29T16:07:52.577280135Z INFO:     10.244.0.1:54532 - "GET /health HTTP/1.1" 200 OK
